"nr";"subOrganizationOf"
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
100;1
101;1
102;1
103;1
104;1
105;1
106;1
107;1
108;1
109;1
110;1
111;1
112;1
113;1
114;1
115;1
116;1
117;1
118;1
200;2
201;2
202;2
203;2
204;2
205;2
206;2
207;2
208;2
209;2
210;2
211;2
212;2
300;3
301;3
302;3
303;3
304;3
305;3
306;3
307;3
308;3
309;3
310;3
311;3
312;3
313;3
314;3
315;3
316;3
317;3
400;4
401;4
402;4
403;4
404;4
405;4
406;4
407;4
408;4
409;4
410;4
411;4
412;4
413;4
414;4
415;4
416;4
417;4
418;4
419;4
500;5
501;5
502;5
503;5
504;5
505;5
506;5
507;5
508;5
509;5
510;5
511;5
512;5
513;5
600;6
601;6
602;6
603;6
604;6
605;6
606;6
607;6
608;6
609;6
610;6
611;6
612;6
613;6
614;6
615;6
700;7
701;7
702;7
703;7
704;7
705;7
706;7
707;7
708;7
709;7
710;7
711;7
712;7
713;7
714;7
715;7
716;7
717;7
718;7
719;7
800;8
801;8
802;8
803;8
804;8
805;8
806;8
807;8
808;8
809;8
810;8
811;8
812;8
813;8
814;8
815;8
816;8
817;8
900;9
901;9
902;9
903;9
904;9
905;9
906;9
907;9
908;9
909;9
910;9
911;9
1000;10
1001;10
1002;10
1003;10
1004;10
1005;10
1006;10
1007;10
1008;10
1009;10
1010;10
1011;10
1012;10
1013;10
1014;10
1100;11
1101;11
1102;11
1103;11
1104;11
1105;11
1106;11
1107;11
1108;11
1109;11
1110;11
1111;11
1112;11
1200;12
1201;12
1202;12
1203;12
1204;12
1205;12
1206;12
1207;12
1208;12
1209;12
1210;12
1300;13
1301;13
1302;13
1303;13
1304;13
1305;13
1306;13
1307;13
1308;13
1309;13
1310;13
1311;13
1312;13
1400;14
1401;14
1402;14
1403;14
1404;14
1405;14
1406;14
1407;14
1408;14
1409;14
1410;14
1411;14
10000;100
10001;100
10002;100
10003;100
10004;100
10005;100
10006;100
10007;100
10008;100
10009;100
10010;100
10011;100
10012;100
10013;100
10100;101
10101;101
10102;101
10103;101
10104;101
10105;101
10106;101
10107;101
10108;101
10109;101
10110;101
10200;102
10201;102
10202;102
10203;102
10204;102
10205;102
10206;102
10207;102
10208;102
10209;102
10210;102
10211;102
10212;102
10213;102
10214;102
10215;102
10300;103
10301;103
10302;103
10303;103
10304;103
10305;103
10306;103
10307;103
10308;103
10309;103
10310;103
10311;103
10312;103
10313;103
10314;103
10400;104
10401;104
10402;104
10403;104
10404;104
10405;104
10406;104
10407;104
10408;104
10409;104
10500;105
10501;105
10502;105
10503;105
10504;105
10505;105
10506;105
10507;105
10508;105
10509;105
10510;105
10511;105
10512;105
10513;105
10514;105
10515;105
10516;105
10517;105
10518;105
10600;106
10601;106
10602;106
10603;106
10604;106
10605;106
10606;106
10607;106
10608;106
10609;106
10610;106
10611;106
10612;106
10613;106
10614;106
10615;106
10616;106
10617;106
10618;106
10700;107
10701;107
10702;107
10703;107
10704;107
10705;107
10706;107
10707;107
10708;107
10709;107
10800;108
10801;108
10802;108
10803;108
10804;108
10805;108
10806;108
10807;108
10808;108
10809;108
10810;108
10811;108
10900;109
10901;109
10902;109
10903;109
10904;109
10905;109
10906;109
10907;109
10908;109
10909;109
10910;109
10911;109
11000;110
11001;110
11002;110
11003;110
11004;110
11005;110
11006;110
11007;110
11008;110
11009;110
11010;110
11011;110
11012;110
11013;110
11014;110
11015;110
11016;110
11100;111
11101;111
11102;111
11103;111
11104;111
11105;111
11106;111
11107;111
11108;111
11109;111
11110;111
11111;111
11112;111
11113;111
11114;111
11115;111
11116;111
11200;112
11201;112
11202;112
11203;112
11204;112
11205;112
11206;112
11207;112
11208;112
11209;112
11210;112
11211;112
11212;112
11213;112
11300;113
11301;113
11302;113
11303;113
11304;113
11305;113
11306;113
11307;113
11308;113
11309;113
11310;113
11311;113
11312;113
11313;113
11314;113
11315;113
11316;113
11317;113
11318;113
11319;113
11400;114
11401;114
11402;114
11403;114
11404;114
11405;114
11406;114
11407;114
11408;114
11409;114
11410;114
11411;114
11412;114
11413;114
11414;114
11415;114
11416;114
11417;114
11500;115
11501;115
11502;115
11503;115
11504;115
11505;115
11506;115
11507;115
